aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Ture S,The movie is a fun watch and it gives more depth to the mcu spiderman as we have never seen before. But the movie tries to deliver so much fan service that it feels like they forgot about the plot along the way. Without the return of the old spidermans this would be quite a bad movie.,1-May-22,4.5,0.08,0.785,0.135,0.3773,,,,,,
Zach S,"Very much a corporate product, but a good one! The buttons on Maguire and Garfield's portrayals were nice. Again, fan service, but good fan service. If there was anything really going on in this film, I liked the thoughtfulness with which it portrayed the old villains. Molina was great to see again, and the redemption arc was nice. I wish we could have gotten a similar thing with the Sandman, but the thing was overstuffed as it is. The Green Goblin going full Nietzsche and attacking Aunt May's charity as a ""crusade"" was a great idea to set up the ""with great power comes great responsibility"" line. One only hopes our own Green Goblins can be stopped by our own humble everypersons who make the hard, empathetic, self-sacrificing decisions when the time comes.",1-May-22,4.5,0.076,0.57,0.355,0.9953,,,,,,
Ryan H,"I think this movie is overrated by a long shot. Don’t get me wrong, it has its moments, like when Green Goblin was on screen or seeing Charlie Cox, Tom Hardy, Andrew Garfield, and Tobey Miguire again or the great ending. But when you look past the references and nostalgia, you end up with a pretty okay film. It’s not bad but it is far from the best MCU movie. Tom Holland still acts like he’s 12 (which makes him annoying sometimes), the jokes are hit or miss, and the pacing is questionable most of the time. If you’re a big Spider-Man fan, then this movie is for you, but if not, then I wouldn’t get your hopes up.",1-May-22,4.5,0.071,0.687,0.241,0.9763,,,,,,
Michael R,"I have no idea what Spiderman is, I think this movie would have been better if they explained all the characters first.",1-May-22,4.5,0.095,0.779,0.126,0.1779,,,,,,
Noah G,"Great movie until the end… Mr. Peter Parker drives on through another heroes journey… until the end when he fails to learn anything. It has blessedly little technobabble or the dreaded exposition dump & that makes the movie even better. The Director/Writer lets the audience understand the characters through their actions, choices, & dialogue… SPOILERS… … … Marvel Studios needs to either hire me, or someone other than who they have checking basic logic & continuity because they fail hard in this one. Doctor Strange basically casts a hypnotism spell on the whole world, yet that leaves all physical evidence. The world may forget about Peter Parker one day but the next they would check their notes & figure it all out again. To the distortion of mine, M. J. sounds similar to those who typically keep journals… actually most super intelligent people do that… Getting accepted into M. I. T. suggests she is very intelligent, thus she would figure everything out in less than a day. Then she is going to be pissed that Mr. Parker failed her twice over. First, twice he made the selfish choice of getting Dr. Strange to cast a memory wipe spell without consulting her on if she even wants to lose all her memories. His fake buddy Ned… cause he has failed to be treated as a best friend by Mr. Parker… Both EDITH, the drones, & their programing are also physical instead of mental. Thus, Peter would continue to have access to Stark tech. It is obvious the writers/directors wanted to take Mr. Parker back to barely having a social footprint on society. Yet they obviously think fans are stupid, or their not going to see the problem he still faces. Even EDITH is rather silly. It seems Tony Stark would trust the future to not have major problems in the event of his biological death. Spiderman: Homecoming should have made it clear to him that trusting Mr. Parker to act like an adult was a mistake... One Doctor Strange repeated. Neither would Mr. Stark trust the governments or any other governmental organizations that fashion themselves as having authority. Therefore, it seems more likely he would create a underground mechanical automated city to be run by either FRIDAY or a digitized version of himself. S. W. O. R. D. proved to all that expectation of abuse from those claiming authority is right. More over, that leads to him insuring his technology would be kept out of the hands of such authoritative organizations claiming ""national security"" & other such nonsense. All Mr. Peter Parker needs is the impetus, call to action, initial rejection of call to action, a fundamental character flaw he works through as the story progresses. Trying to literally put him back into the poor house is a pointless mistake. Pointless, because there are many other ways to achieve the same objective. Mistake, because character progression is fundamentally erased by everything that happened in the prior two movies. His character is defined by the friends he keeps. & the whole trope of pushing a loved one away to 'protect' them is a a tired old trope that is monumentally annoying to the distortion of mine. For Gravity being shared by you, grateful am I. May the Goddess be asked to alighten a path towards love, joy , & happiness along the self'determined life'cycle chosen by the higher'self of yours by you, pray do I.",1-May-22,4.5,0.129,0.72,0.151,0.9474,,,,,,
Camila,"Good beginning and end,but a light middle. Underwhelming due to spoilers but definitely feels like a Spider-Man comic book",1-May-22,4.5,0,0.615,0.385,0.8294,,,,,,
Stephen C,I loved the reunion between the Spider-mans! Great movie overall!!,1-May-22,4.5,0,0.441,0.559,0.8713,,,,,,
Wendy F,"Ages 13 and up!!!!!!!!!! Rated PG-13 for some language, sequences of science fiction action/ violence, and suggestive content. Starring Benedict Cumberbatch in his Spider-Man debut as Doctor Strange!!!!!!!!! Also, guest appearances by Tobey Maguire and Andrew Garfield as the alternately hilarious versions of Spider-Man/ Peter Parker!!!!!!!!!",1-May-22,4.5,0.101,0.847,0.052,-0.5526,,,,,,
aleasha s,This was just wonderfully done. The interplay between all three Spider-Men was so lovely. All of the villains were excellent.,1-May-22,4.5,0.134,0.487,0.379,0.8429,,,,,,
sam m,"Like the previous Spiderman movies, an ok overall movie. it definitely is not the best marvel movie of all time. it's not even in my top 10 marvel movies.",1-May-22,5,0.092,0.656,0.252,0.5903,,,,,,
Janie,"the movie was really good with carrying dramatic scenes and got the nostalgia going. i think where the film falls down a bit is the climax i think in all the Spiderman films Spiderman gets beat up too much and shows no dominance with the fights and tries to be too hard to be funny while fighting, however i really enjoyed tom Holland relentlessly beating down goblin. and how they finished the film was perfect.",1-May-22,5,0.134,0.693,0.173,0.6582,,,,,,
Senator A,It was great and exciting with some sad scenes and good dialog with new cast members.,1-May-22,5,0.123,0.474,0.403,0.7964,,,,,,
Florian H,"Great Movie, but you need to have seen all Spiderman movies ever.",1-May-22,5,0,0.812,0.188,0.3716,,,,,,
bailey m,"Found it average, cinematography is at it's minimum, scenario makes no sense (peoples better have forgotten Mysterio). The only thing that mades me excited was the return of the Spider-men and Charlie Cox's cameo. I think Far From Home is a better movie.",1-May-22,5,0.085,0.745,0.17,0.6249,,,,,,
Adrian H,"Carried by camios, overall terrible movie",1-May-22,5,0.383,0.617,0,-0.4767,,,,,,
Katy S,""" Great Third Act Movie! "" Intended to kick start the Tom-Holland Spider-man story Please watch at least some of the old Spiderman Movie first. Only MCU able to get away with mish-mashing actor from different movie and still feels coherent with the tone of the movie. There are some flaws because too many actors and it still has to focus on Tom-Holland-Peter journey.",1-May-22,5,0,0.9,0.1,0.7712,,,,,,
Jayden L,Idk why some others like this film but this is overrated and a waste of time and money,1-May-22,5,0.237,0.678,0.085,-0.4854,,,,,,
Joao,"This movie has a very good plot, very good action, and just overall a amazing film.",1-May-22,5,0,0.519,0.481,0.8803,,,,,,
Daniel W,"There is nothing else to say but fantastic! You can tell that Jon Watts and Kevin Feige put thousands of hours into how to strategically add such a compelling solo hero movie to the Marvel Cinematic Universe (MCU). This was arguably one of the greatest movies I have seen in the last 3 years! Well done. Would I recommend it? Yes, absolutely!",1-May-22,5,0.031,0.619,0.35,0.9814,,,,,,
Abdou J,This is the best Marvel movie to date.,1-May-22,5,0,0.625,0.375,0.6369,,,,,,
Michael,"I am a HUGE Spiderman fan, so I automatically love this movie a lot, but that's not the only reason I love this movie. The plot is great, the characters are great, and the ending is amazing.",1-May-22,5,0,0.462,0.538,0.985,,,,,,
Brucie W,ONE OF THE BEST MOVIES IVE EVER SEEN!!!!,1-May-22,5,0,0.566,0.434,0.7482,,,,,,
Rylee P,"Pretty good film nice to finish the Trilogy off I did feel wary of Spoiler : Bringing back the past villians and other Spidermen was reaching but it served the story. The film was fun , thrilling and emotional certainly better then Marvel other efforts Post Endgame .",1-May-22,5,0,0.585,0.415,0.9712,,,,,,
Joe C,More CGI synthetic filmmaking. Has any recent Marvel movies directors actually tried writing and shooting a decent movie on location? Also more cities than Atlanta exist to serve as foreground of movie sets. Like the memes is all this movie has to it besides worldbuilding for multiverse of madness. At least the Raimi films had heart even if there were some cringey lines. This is some straight up cringe wrapped up in a meager budget for their visual artists.,1-May-22,5,0.036,0.91,0.054,0.128,,,,,,
Christiano P,Wow just wow so good,1-May-22,5,0,0.15,0.85,0.907,,,,,,
Calvin E,Amei os 3 homens aranhas juntos foi no embalo estilo vingadores utimanto pra mim eu gostei. Acho que a Marvel é isso o tempero certo pros filmes da Marvel e isso tirando isso é um fracasso,1-May-22,5,0.071,0.929,0,-0.296,,,,,,
Richard D,The MCU & Spider-man lives up to the hype... once again! Super enjoyable.,1-May-22,5,0,0.585,0.415,0.7959,,,,,,
Gustavo I,"The MCU movie that started it all! What a performance from the entire cast, especially Robert Downey. You must see this movie.",9-Nov-21,4,0,1,0,0,,,,,,
Ramsus Z,If you like Spider Man even a little bit then you will love this movie. it's a movie with nolstalgia yet it doesn't linger in the past the CGI is also magical so if you like action/magic/siencefiction/drama and even comedy you must see this. go see it alright,1-May-22,3.5,0,0.75,0.25,0.9136,,,,,,
Caleb G,"My favorite character is Ned, because he is played by the CEO of Sex",1-May-22,3.5,0,0.69,0.31,0.6597,,,,,,
marshall g,"great movie, a step forward for marvel",1-May-22,3.5,0,0.549,0.451,0.6249,,,,,,
Anderson Arias,ANDREW IS THE BEST SPIDER-MAN,1-May-22,3.5,0,0.488,0.512,0.6369,,,,,,
Wyatt G,A real crowd pleaser that shows Peter that he is not a kid anymore. The first 30-ish minutes don't really do it for me but its overlookable and it more than makes up for it from the end of the 2nd act through the 3rd.,1-May-22,3.5,0,0.958,0.042,0.2144,,,,,,
Star Wars N,"This was the perfect blockbuster over the holiday season, giving Spider-Man fans everything they've ever wanted while just being a heartwarming story in general about never giving up on people, no matter how many mistakes they've made. This is my personal favorite film in the Spider-Man franchise as well as the MCU in general.",1-May-22,3.5,0.066,0.591,0.343,0.9565,,,,,,
Carol S,Maravilhoso! Para quem é fan é uma junção de TD que sempre sonhamos!,1-May-22,3.5,0,0.776,0.224,0.4374,,,,,,
Ilyes H,"I love it but it has that MCU formula, the writing was average and they seem to shove jokes that are not really funny through my throat, is it the best MCU movie ever? that's debatable but personnaly yes it is",1-May-22,3.5,0.065,0.662,0.273,0.9004,,,,,,
Chris T,"As a fan of the Spiderman movies, this does them justice and then some.",1-May-22,3.5,0,0.659,0.341,0.6908,,,,,,
Clyde N,"Tobey my beloved. Andrew got me bricked up. Would've given it a 4.5, but the ending made it 5.0. Loved all the actors and the plot. Surely Sony won't ruin this movies ending with another of their creations. Surely!",1-May-22,5,0,0.582,0.418,0.975,,,,,,
Mike J,"The best parts of this film reminds of why I love comic books. This film is a heroic accomplishment, especially when you consider the fact that Tibet is in the movie. *Tobey",1-May-22,5,0,0.692,0.308,0.9186,,,,,,
Maureen C,This movie is fantastic for bringing back all the actors from the past live action Spider-Man movies. I think it is overrated a little bit. This is the pathway for Spiderman to BECOME SPIDERMAN.,1-May-22,5,0,0.896,0.104,0.5574,,,,,,
Mack G,Doesn't stream I couldn't even watch the movie at theater because I had to go use the restroom at least keep movies running in theater 1 month then next bring it in stream next month and terrible movie,1-May-22,5,0.084,0.916,0,-0.4767,,,,,,
Connor M,"Is this movie kind of dumb? Yeah, a little. But it's not bad by any means.",1-May-22,5,0.117,0.61,0.273,0.4729,,,,,,
The M,"Yeah yeah yeah, everyone is telling you its great. Guess what, they are correct. Except here is the issue, I'm a Spider-Man fanboy so this was basically made just for me. As this movies core demographic I must say that it's pretty perfect for what it is trying to be. But let's be honest, if you are on the fence about watching this movie, then I hope this review is the one that pushes you to check it out",1-May-22,5,0,0.772,0.228,0.9524,,,,,,
Leon C,"Mucho fan service, todos queríamos que pasará lo que paso en esta película, pero tiene tantos agujeros de guión y muchas escenas forzadas, además del abuso de CGI entre otras cosa, buena película, pero el guión muy mal estructurado y hecho por hacer y ya",1-May-22,5,0,0.947,0.053,0.3182,,,,,,
Clyde N,"Would've given it a 4.5, but the ending made it 5.0. Loved all the actors and the plot. Surely Sony won't ruin this movies ending with another of their creations. Surely!",1-May-22,5,0,0.545,0.455,0.9714,,,,,,
Dustin C,"A phenomenal love letter to the character of Spider-Man, with references and appreciation noticed in every corner of the movie. Not as good as Morbius, but nobody is.",1-May-22,5,0.056,0.788,0.156,0.4673,,,,,,
Dean T,"I can't even really talk about how amazing this movie is without spoiling anything but all I can say is that it does the impossible and meets not only general audience expectations, but also FAN EXPECTATIONS (something that's almost impossible to do). This is not only one of my favorite movies of 2021 but it's also one of my all-time favorite movies & I cannot recommend it enough",27-Apr-22,5,0.035,0.775,0.19,0.915,,,,,,
Ethan C,"This movie exceeded my expectations, I absolutely love this Spider-Man movie. It was better than Homecoming and FFH, which I believe were the most mediocre Spider-Man movies. This movie gave us an excellent story for the hero. It felt more mature and that's a good thing, the closest we got to live action sinister six and excellent casting for the characters. This is a must watch for Spider-Man fans. Only cons was the bad pacing in the first half and questionable dialogue like, ""Scooby-doo this crap"" which was awful but everything else was funny and fun. This felt like a true Spider-Man film on par with Spider-Man 2 and the animated spider verse movies.",27-Apr-22,1,0.075,0.68,0.244,0.9705,,,,,,
Pablo V,"Not perfect, but its the kind of movie that sets another franchise, so...",27-Apr-22,1,0.143,0.857,0,-0.2498,,,,,,
Catellier,Wow just wow! Almost the perfect movie!,27-Apr-22,1,0,0.256,0.744,0.9119,,,,,,
Markku T,"The genre of superhero movies is not dead, even if Disney has been doing their all to ruin it with woke politics. Fortunately Sony has come to rescue with this sublime blend of nostalgic characters and exploration of central Spider-Man themes: power and responsibility. Transcending history and the world, a tale of souls and spiders, eternally retold, this time in triplicate. What a wild ride! Character motivations were laid out in great depth with simple strokes, which made the battles so much more interesting; each villain had understandable, rational goals, and they were fighting for their lives for once instead of merely power, madness, or destruction of Spider-Man. Benedict Cumberpatch really nails Dr. Strange (once again), and the impudent humor strikes a great tone for the events. I have always had a soft spot for Doc Ock (since 1980 when I started reading Spider-Man comics), and it was such a treat to see Molina retread the role with great aplomb. Willem Dafoe was again an incredible Norman Osborne and Green Goblin: I've always had such a burning hatred for the character, and he did not defuse it at all, since his madness still ruins everything he touches. His fate simply underscored Peter Parker's ability for forgiveness, even if it were unearned and given at such great cost. Venom is such waste of space that the end clip did not do anything to me. Madness or being mastered by an alien parasite does not interesting characters make.",26-Apr-22,1,0.135,0.724,0.14,0.3442,,,,,,
Paulo M,This movie just didnt live up to its predecessors. The humor timing was off most of the time and there was no chemistry between spidey and his girl.,26-Apr-22,1,0.073,0.858,0.069,-0.0258,,,,,,
Anna M,"Best spiderman movie so far. You can get the comedy, drama, and action in one package. It's great how they made it bitter sweet ending.",26-Apr-22,1,0.077,0.546,0.377,0.9001,,,,,,
Michael M,"Whilst the film was alright I personally believe it fell flat on it's face as the producers decided to cast relatively unknown actors as extremely obscure villains, I believe that if they chose to cast the brilliant Jared Leto as Morbius and make the film about him rather than some furry with spider powers the film would've been so much better",26-Apr-22,1,0.068,0.801,0.131,0.5106,,,,,,
Douglas R,"A part of me wishes we had got a new villain from Spidey's vast rogues gallery (we haven't seen Scorpion on the big screen yet) but there's no arguing with the massive nostalgia machine that is this movie. All the actors here are on point and the chemistry between the three Spider-Men is awesome. I could have watched them just rehash their movies for hours. As many have said, Andrew Garfield particularly steals the show, bringing the heart and the humor to the Web Head that made many of us fall in love with him in the first place.",26-Apr-22,1,0.119,0.75,0.131,0.3422,,,,,,
Ella F,A great final summation of decades of spidermen with some heartfelt moments and moments of nostalgia.,25-Apr-22,1,0,0.631,0.369,0.8225,,,,,,
Astrid G,"Today I'm going to talk about Marvel's latest effort, the latest film from the MCU Spiderman: No Way Home, for the direction of John Watts. This film was a mediatic phenomenon, as we all know, there were high expectations and have been made a lot of assumptions by Marvel fans and not only. I think this hype is good for cinema in general but a terrible film like this isn't worth for all this hype, the others lose something because everyone have been to the cinema only for a film that I don't feel like call as such. The direction seems not to exist and unfortunately, I'm not kidding, everything is made by the computer and you don't understand anything. There isn't photography or cinematography, anything, not even a shot that you could remind, nothing remains in mind except the thought about the money you have spent for buying a ticket and watching this total idiocy. The previable plot has a lot of plot twist that do not add anything to the plot which is predictable, like the 90% of the events, so the story is a total idiocy. It seems like the people who written this film, which is not a real film, did not have any ideas and invented a mess for end in something obvious. The concept in the beginning is useless, so if I want to remove what is useless this film would last for like 15 mins. The screenwriting isn't decent, to add, with a lot of mandatory rules broken with narrative elements that are equal to all and not innovative, and all this fix me a question in mind: How did they write this film? The principal character are: Tom Holland's Peter Parker/Spiderman, Benedict Cumberbatch's Doctor Strange and the ones from the old Spiderman's films. Tom Holland's Spiderman isn't interesting because is like a dumb boy with stupid ideas that don't make sense, he wants to be a hero but he is incapable, it comes out badly. He is kid that acts in an unwatchable way, in fact he has two expressions; one when he's happy and the other one when he is sad, when he cries, he is ridicules and not credible. In conclusion his acting was cringe. Moreover, this Doctor Strange of Benedict Cumberbatch is like a child in fact he has behaviors truly questionable; he is stupid and the symbol of the terrible fanservice, he made thing that the old Doctor Strange would never do, he can't even do spells in the right way, c'mon. So, for resume everything in one word, he is an idiot. Thanks, this film, they demonstrated that the actors of the Sam Raimi's trilogy are the best, because they are such great actors and they work perfectly, from fantastic William Dafoe's Goblin to wonderful Otto Octavius of Alfred Molina. When I think that I spent my time in 2 hours and 30 min of vision, which are super long, for this terrible film, I feel sick, I wasted my time and everyone who watched it, because there isn't something new, it isn't cinema, only a product of marketing, only for sell tickets and so and so forth. Having seen this film, I'm really scared for upcoming new MCU movies, if this is the type there will be in the future I recommend Marvel to do a pleasure for itself and everyone else and close the doors and say goodbye to everyone. In conclusion, with all the hype there was for this terrible film, they could done it better, and it didn't take much in hindsight. They must not have the objective of satisfying the fans but only do something new that could be called entertainment and not repugnance in the vision, something that could not be called only fanservice but also cinema.",25-Apr-22,1,0.142,0.723,0.135,-0.3635,,,,,,
Kieran T,It was great but the cameos and fans made the movies success.,25-Apr-22,4,0,0.568,0.432,0.8225,,,,,,
Paul C,"Top notch. no point in me wasting your time, just watch it its great.",25-Apr-22,4,0.236,0.481,0.284,0.25,,,,,,
Joel C,"First half is almost unbearable with Peter's friends and family taking larger roles than previous films, they just don't cut it. The comedy misses it's mark and the emotional scenes have no impact. The only good supporting character in first half is Dr. Strange. But, the second half does redeem the film somewhat. This is probably one of the weakest in the franchise.",25-Apr-22,4,0.123,0.733,0.144,-0.1263,,,,,,
Luis E,"So much to love. As far as MCU movies go, this is top 5.",25-Apr-22,4,0,0.657,0.343,0.7402,,,,,,
Aiden C,Thank you Marvel for lending Sony a hand. The BEST film of 2021.,25-Apr-22,4,0,0.458,0.542,0.8918,,,,,,
Christos C,"(spoilers)This movie was amazing! It has extraordinary animation and acting, amazing plot development, the old villain actors, they even made reused scenes to make it better! The fact that Tobey and Andrew kept it hidden for so long is very amusing! Can't wait to see what Doctor Strange: Multiverse Of Madness will be like.",24-Apr-22,4,0.117,0.647,0.236,0.858,,,,,,
Jake M,Ia a very good movie that i think was well putted and had a very nice way of continuing the story,24-Apr-22,4,0,0.641,0.359,0.8119,,,,,,
Rodman W,Seeing everyone back was amazing. The fan serve was such a gift to see.,24-Apr-22,4,0,0.526,0.474,0.8402,,,,,,
Justin B,"An excellent adventure, however you might get lost if you don't really follow the MCU. I thought it was one of the greatest experiences ever!",24-Apr-22,4,0.07,0.61,0.32,0.8478,,,,,,
Michael P,By far the best Spider-Man movie to date. The nostalgia was amazing and even if you didn't grow up with Toby or Andrew it would still be an amazing move,24-Apr-22,5,0,0.696,0.304,0.9153,,,,,,
Ana C,"Watching this movie was like going back in time. Seeing all spider men together was one of the best experiences I have ever had. This movie is a masterpiece, you definitely should watch it.",24-Apr-22,5,0,0.675,0.325,0.926,,,,,,
Yassin K,The best movie I've ever seen,24-Apr-22,5,0,0.543,0.457,0.6369,,,,,,
Harvey M,"Definitely one of my favourite films every, this was literally a love letter to spiderman fans. From start to finish was just perfect. Absolutely brilliant",24-Apr-22,5,0,0.576,0.424,0.9402,,,,,,
Joseph D,"A movie based on nostalgia lacked a storyline and had poor VFX from a PlayStation game, scriptwriting and action were decent. The movie's cinematography like usual is standard marvel stuff, not to the level of The Batman after watching it and really lacks colors and any seasoning on the screen. The best bit of the movie was Willem Dafoe as Green Goblin other than that not a masterpiece, but I'd say an enjoyable film to watch with your mom.",24-Apr-22,5,0.051,0.85,0.1,0.6128,,,,,,
Jenny S,"Pure fan service and I loved every second of it. This one is especially sentimental to the kids who grew up watching Tobey and Andrew don the red and blue suit. This is still Tom's story, heavily impacted by some veteran cbm villains and heroes, he finally comes into his own and fulfills his origin story to become Spider-Man as we all know and adore him.",24-Apr-22,5,0.055,0.724,0.221,0.9061,,,,,,
Lysander L,"This movie is one of the best I've ever seen, and maybe the best Marvel movie ever. ""No Way Home"" absolutely delievered with its iconic Tobey, Andrew, and Tom Spider-mans working together. Definitely worth its hype, and a must-watch for those who somehow haven't seen it yet.",24-Apr-22,5,0.039,0.73,0.231,0.8957,,,,,,
mayson s,Spiderman no way home was an excellent movie that pleased the crowd by bringing back actors and characters from the original spiderman movies. It was full of nostalgia and plot twists. There was plenty of action and humor throughout the movie which made it more enjoyable. The acting quality was perfect (no surprise since everyone has experience in acting) and all the actors really fit the look and feel of their character. The ending of the movie was great and didn't take too long and was resolved in the perfect timeframe.,24-Apr-22,5,0.019,0.696,0.284,0.9819,,,,,,
Jens H,One of the best spiderman ever!,23-Apr-22,5,0,0.527,0.473,0.6696,,,,,,
Terence d,BEST Spiderman movie of all-time!!,23-Apr-22,5,0,0.42,0.58,0.7592,,,,,,
Tom S,Really good film with a lot of exciting fan service with cameos and returning actors.,23-Apr-22,5,0,0.559,0.441,0.8268,,,,,,
SHUKI D,Without all the old characters from the good Spider-Man movies this movie would prolly be the worst marvel movie yet,23-Apr-22,5,0.164,0.72,0.116,-0.296,,,,,,
Lily P,"Great Marvel movie. But on the other hand I feel that if there had not been all this cycle meeting then the film would have been much less good. In addition, the solution to prepare medicines and cure the villains in my opinion is not the right solution.",23-Apr-22,5,0.096,0.648,0.255,0.8426,,,,,,
Kyle K,"I have not been much of a fan of Marvel's cinematography but this movie was very enjoyable and if you are a consumer of the Spider-Man movie saga, I know you will enjoy watching it, the memes and action will feel like you are a little kid watching cartoons. I feel the Multi-verse theme is very well done and doesn't feel forced. Very good effects and cast, a movie with nostalgia and fun to watch with the family.",23-Apr-22,5,0,0.688,0.312,0.9827,,,,,,
Julia R,"This trio Spiderman and the baddies make it really as if you're watching the first Spider-Man, it takes you back a bit and shows the struggles each individual is struggling with wether it be doc or goblin they all have their issues and it's a nice film showing Toby to still be the number one Spider-Man and why.",23-Apr-22,5,0.086,0.847,0.067,-0.296,,,,,,
Evan M,I loved this movie!!!! so much fun all the references to the other movies and venom in the after the credits!!!!! I would love to see tom hardy and venom in the next movie tthat would be awesome!!!! i felt so bad for peter in the end so sad!!!,23-Apr-22,5,0.132,0.625,0.243,0.7943,,,,,,
sharky666,Nostalgia & fan service,23-Apr-22,5,0,0.465,0.535,0.3182,,,,,,
Nolan S,Not only the best Spider-Man movie ever. But one of the top Marvel movies. Wow Wow Wow!! Must See!!!!!!,23-Apr-22,5,0.062,0.398,0.54,0.9627,,,,,,
Cam W,I like this movie a lot. I recommend this movie to my friend and cousin,22-Apr-22,5,0,0.523,0.477,0.802,,,,,,
Spider B,"God, this movie. Where to begin! This movie was crazy, with a cameo from Daredevil and the 2 other Spider-Men, in the end, was INSANE. I watched this in theaters 2 days after the release, and I was BLOWN away! Now that it's digital, I can't WAIT to see it again. Best Spider-Man movie of all time because it literally comes RIGHT OUT of a COMIC BOOK! WHAT?!?!",22-Apr-22,4.5,0.082,0.787,0.131,0.5416,,,,,,
Jared P,"Did a great job with the top-level premise. It is absolutely brutal in answering the question of ""How do we put the Genie back in the bottle on Parker's identity?"" They murder the Genie, put it in a Blendtec, then pour the resulting sludge back into the bottle.",22-Apr-22,4.5,0.162,0.765,0.073,-0.7178,,,,,,
Michelle S.,I have rewatched this movie 7 times within 3 months. Clearly I'd recommend 3,22-Apr-22,4.5,0,0.606,0.394,0.6369,,,,,,
michael P,Was a bunch of fun. Loved that I could just put my mind on cruise control and just be entertained by a movie. What a crazy concept.....be entertained by entertainment!,22-Apr-22,4.5,0.063,0.525,0.412,0.923,,,,,,
Mitchell W,"Didn't think this concept would work, but it does. The way the film retroactively improves weak aspects of previous Sony Spiderman films is pretty remarkable. Tom Holland's Spiderman is the GOAT.",22-Apr-22,4.5,0.088,0.617,0.295,0.8765,,,,,,
Felipe A,Fun nostalgia but the silly premise is too hard to get past for me. See the HISHE for clarity.,21-Apr-22,4.5,0.068,0.64,0.292,0.6428,,,,,,
Aaron S,"simplesmente espetacular, resgata tudo que o personagem tem de melhor que nos foi apresentado nos longas anteriores e misturam tudo formando em uma grande montanha russa de emoções, sem dúvidas é um marco na história dos filmes de super heróis e da indústria cinematográfica.",21-Apr-22,4.5,0,0.909,0.091,0.5994,,,,,,
sed w,"No Way Home had a problem of overinflated expectations for me. I'm a huge Spider-Man fan and as such, I knew maybe a bit too much heading into this movie. I had theory crafted, I had hemmed and hawed about how and where different characters would be introduced and which ones would show up. Unfortunately, I would've been better off seeing no trailers or hearing any (even non spoilery) chatter about this movie going into it. That all said, despite my crazy expectations, I think SM No Way Home met them and is truly a great movie. I think how emotional the narrative is very appropriate given the scope of the movie and the space it falls within the MCU.",21-Apr-22,4.5,0.092,0.767,0.142,0.7533,,,,,,
Devin T,dude i swear i thought this movie was gonna be great i thought it was gonna be the best movie ever but the beginning was so boring i quit it and came back a few days later to try to watch it again it felt like the movie was rushed and they just wanted it to end kinda like me watching it peter runs away toby and andrew go and talk to him they make a plan the only time we really get something good is when they sit there and talk but it feels rushed and they didnt put enough plot there was so much they could have done like gave them more bonding scenes or something it felt dry and i was glad when it ended,21-Apr-22,4.5,0.036,0.799,0.165,0.9587,,,,,,
Melanie M,"Why do so many good movies have to go into misery. Can't you just leave feeling happy? But now, thye had to ruin his life and make him end up all alone and kill people. Great first half, but the ending ruined it. What a shame. I guess a lot of people need musery to make them happy.",21-Apr-22,5,0.292,0.504,0.205,-0.8869,,,,,,
Alan C,"It's an amazing movie, they finally give it the development that Tom's spider-man deserved and seeing the 3 spider-men together was glorious",21-Apr-22,5,0,0.704,0.296,0.8402,,,,,,
Ostin r,"The film is far from the best examples of Marvel. The plot is quite primitive, and if desired, any pimply teenager can find holes in it. Seriously. Why did not everyone transfer to the new world? And if that's all, then why didn't the Green Goblin think of such a simple mechanism as blackmailing the first spider with his MJ? Where have the other superheroes gone? Why is the Statue of Liberty crumbling to dust in downtown New York, and the Avengers and X-Men don't care? Where are Strange's colleagues? In addition, Marvel was again poured into moralizing. Any villain can now be fixed by injecting (or exploding in front of his nose) a serum of unknown origin. Where was she before? And why didn't they know about her in the wars with Thanos? Or is Peter Parker smarter than Stark? Any evil can be made good - this is the sermon with the zeal of the American Founding Fathers in this Marvel movie. Works only for the youngest viewers. And even then, not at all The idea of a multiverse is a really good attempt to include everything that came before in the MCU. And here the studio clearly conceived an elegant move, abandoning the semantic overload. Plus, it's a great wiggle room for future films. So you can shoot before collabs with DC or Star Wars. Batman vs Captain America. Luke Skywalker vs Star-Lord. Cashier guaranteed. And the new Spider-Man just raped the nostalgia trend. And this is a very true step. The first wave of movie comics fans have already grown up, have their own children. And here's a thing for you, where dads can cut themselves in serious cabbage soup in a dispute with their kids, whose spider-man is cooler. Marvel is building a cool generational dialogue. Brings forgotten memes to life (are you a bit of a scientist, too?) and makes going to the movies even more of a family affair. That being said, I don't understand the hysteria in the movie. The movie is clearly not to be praised. Cumberbatch is damn good in a cape, Zendaya is a great actress and Holland is a reflection of a new generation. Which of these didn't we know before the movie? In general, the new Spider-Man is a rather clumsy attempt at the New Year's table to retell in your own words the anecdote of a beloved but deceased grandmother that seemed ridiculous. When at the end you realize that he was funny precisely because of the charisma of the departed old woman. And after the retelling, you will find the occasional laughter of some kind of arrogance and the awkward silence of everyone else. Fanfiction is purely for the fanbase. Harry Potter January reunion in another universe. Well, yes. The visuals are quite an Oscar nomination.",21-Apr-22,5,0.081,0.823,0.096,0.8446,,,,,,
Paul C,The whole premise of Peter Parker ignoring everything Dr. Strange said made the story beyond annoying. This took the character in a dumb direction. Not enjoyable.,21-Apr-22,5,0.392,0.608,0,-0.898,,,,,,
Haroun B,Do I really need to say anything?,10-Jul-21,4.5,0,1,0,0,,,,,,
